source_file,parameter_path,value,kind
defaultFactorySettings.js,meta.version,1,setting
defaultFactorySettings.js,game.totalRounds,12,setting
defaultFactorySettings.js,game.monthsPerRound,3,setting
defaultFactorySettings.js,game.hoursPerMachinePerRound,1040,setting
defaultFactorySettings.js,game.hoursPerWorkerPerRound,1040,setting
defaultFactorySettings.js,market.referencePrice,25000,setting
defaultFactorySettings.js,market.baseDemandPerVariation,10,setting
defaultFactorySettings.js,market.priceElasticity,-4,setting
defaultFactorySettings.js,production.hoursPerMachinePerRound,1040,setting
defaultFactorySettings.js,production.hoursPerWorkerPerRound,1040,setting
defaultFactorySettings.js,production.workersPerMachine,5,setting
defaultFactorySettings.js,production.departments.machining.normHoursPerContainer,6,setting
defaultFactorySettings.js,production.departments.assembly.normHoursPerContainer,90,setting
defaultFactorySettings.js,production.departments.shipping.normHoursPerContainer,10,setting
defaultFactorySettings.js,lean.fiveS.maxHours,1600,setting
defaultFactorySettings.js,lean.fiveS.contributionDivisor,3,setting
defaultFactorySettings.js,lean.fiveS.levelThresholds[0].level,0,setting
defaultFactorySettings.js,lean.fiveS.levelThresholds[0].hours,0,setting
defaultFactorySettings.js,lean.fiveS.levelThresholds[1].level,1,setting
defaultFactorySettings.js,lean.fiveS.levelThresholds[1].hours,189,setting
defaultFactorySettings.js,lean.fiveS.levelThresholds[2].level,2,setting
defaultFactorySettings.js,lean.fiveS.levelThresholds[2].hours,474,setting
defaultFactorySettings.js,lean.fiveS.levelThresholds[3].level,3,setting
defaultFactorySettings.js,lean.fiveS.levelThresholds[3].hours,711,setting
defaultFactorySettings.js,lean.fiveS.levelThresholds[4].level,4,setting
defaultFactorySettings.js,lean.fiveS.levelThresholds[4].hours,1066,setting
defaultFactorySettings.js,lean.fiveS.levelThresholds[5].level,5,setting
defaultFactorySettings.js,lean.fiveS.levelThresholds[5].hours,1600,setting
defaultFactorySettings.js,lean.fiveS.currentDepartmentWeights.machining,0.42,setting
defaultFactorySettings.js,lean.fiveS.currentDepartmentWeights.assembly,0.35,setting
defaultFactorySettings.js,lean.fiveS.currentDepartmentWeights.shipping,0.23,setting
defaultFactorySettings.js,lean.methods.levelThresholds[0].level,0,setting
defaultFactorySettings.js,lean.methods.levelThresholds[0].hours,0,setting
defaultFactorySettings.js,lean.methods.levelThresholds[1].level,1,setting
defaultFactorySettings.js,lean.methods.levelThresholds[1].hours,50,setting
defaultFactorySettings.js,lean.methods.levelThresholds[2].level,2,setting
defaultFactorySettings.js,lean.methods.levelThresholds[2].hours,125,setting
defaultFactorySettings.js,lean.methods.levelThresholds[3].level,3,setting
defaultFactorySettings.js,lean.methods.levelThresholds[3].hours,225,setting
defaultFactorySettings.js,lean.methods.levelThresholds[4].level,4,setting
defaultFactorySettings.js,lean.methods.levelThresholds[4].hours,350,setting
defaultFactorySettings.js,lean.methods.levelThresholds[5].level,5,setting
defaultFactorySettings.js,lean.methods.levelThresholds[5].hours,500,setting
defaultFactorySettings.js,lean.methods.levelThresholds[6].level,6,setting
defaultFactorySettings.js,lean.methods.levelThresholds[6].hours,700,setting
defaultFactorySettings.js,lean.methods.fixedHours,50,setting
defaultFactorySettings.js,lean.methods.costPerHour,100,setting
defaultFactorySettings.js,lean.methods.costRounding,1000,setting
defaultFactorySettings.js,lean.methods.maxEffectiveHours,700,setting
defaultFactorySettings.js,lean.smed.initialSetupTimeHours,8,setting
defaultFactorySettings.js,lean.smed.minimumSetupTimeHours,0.5,setting
defaultFactorySettings.js,lean.smed.decayHours,450,setting
defaultFactorySettings.js,lean.smed.baseSetupCurveHours,450,setting
defaultFactorySettings.js,lean.smed.automationReductionMinutesPerMachine,10,setting
defaultFactorySettings.js,lean.smed.automationScope,machining,setting
defaultFactorySettings.js,lean.tpm.initialDowntimeRate,0.1,setting
defaultFactorySettings.js,lean.tpm.minimumDowntimeRate,0.01,setting
defaultFactorySettings.js,lean.tpm.decayHours,450,setting
defaultFactorySettings.js,lean.tpm.availabilityBonusPctPoints,2,setting
defaultFactorySettings.js,lean.quality.baseAvailabilityPct,70,setting
defaultFactorySettings.js,lean.quality.baseQualityPct,70,setting
defaultFactorySettings.js,lean.quality.maxPct,0.95,setting
defaultFactorySettings.js,lean.quality.curveHours,1200,setting
defaultFactorySettings.js,lean.quality.spcContributesToQuality,true,setting
defaultFactorySettings.js,lean.quality.pokaYokeContributesToQuality,true,setting
defaultFactorySettings.js,lean.performance.machiningBasePct,0.9,setting
defaultFactorySettings.js,lean.performance.defaultBasePct,70,setting
defaultFactorySettings.js,lean.performance.maxPerformance,0.95,setting
defaultFactorySettings.js,variationRules.minimumQualityForZeroAdditionalVariations,0.75,setting
defaultFactorySettings.js,variationRules.minimumQualityForOneAdditionalVariations,0.75,setting
defaultFactorySettings.js,variationRules.minimumQualityForTwoAdditionalVariations,0.8,setting
defaultFactorySettings.js,variationRules.oneVariationMinQuality,0.8,setting
defaultFactorySettings.js,variationRules.twoVariationMinQuality,0.8,setting
defaultFactorySettings.js,variationRules.maxNewVariationsBelowThreshold,0,setting
defaultFactorySettings.js,variationRules.maxNewVariationsAtOrAbove75Pct,1,setting
defaultFactorySettings.js,variationRules.maxNewVariationsAtOrAbove80Pct,2,setting
defaultFactorySettings.js,costs.materialCostPerContainer,10000,setting
defaultFactorySettings.js,costs.annualEmployeeCost,50000,setting
defaultFactorySettings.js,costs.annualFixedCosts,3000000,setting
defaultFactorySettings.js,finance.annualInterestRate,0.05,setting
defaultFactorySettings.js,finance.maxDebtToEquity,2,setting
defaultFactorySettings.js,finance.machineryDepreciationPerRound,0.05,setting
defaultFactorySettings.js,finance.buildingDepreciationPerRound,0.025,setting
defaultFactorySettings.js,inventory.finishedGoodsValuePerContainer,20000,setting
defaultFactorySettings.js,inventory.finishedGoodsSpacePerContainerM2,15,setting
defaultFactorySettings.js,inventory.productionRunsPerVariationDefault,2,setting
defaultFactorySettings.js,factory.machineSpaceM2,250,setting
defaultFactorySettings.js,factory.workerSpaceM2,25,setting
defaultFactorySettings.js,factory.factoryExpansionM2,1000,setting
defaultFactorySettings.js,factory.dispatchSpaceM2,250,setting
defaultFactorySettings.js,factory.officeAndSocialSpaceM2,200,setting
defaultFactorySettings.js,investments.newMachine.type,new-machine,setting
defaultFactorySettings.js,investments.newMachine.scope,factory,setting
defaultFactorySettings.js,investments.newMachine.repeatable,true,setting
defaultFactorySettings.js,investments.newMachine.price,500000,setting
defaultFactorySettings.js,investments.newMachine.spaceEffectM2,250,setting
defaultFactorySettings.js,investments.newMachine.staffingEffectWorkers,5,setting
defaultFactorySettings.js,investments.newMachine.capacityEffectHoursPerRound,1040,setting
defaultFactorySettings.js,investments.newMachine.depreciationPerRound,0.05,setting
defaultFactorySettings.js,investments.factoryExpansion.type,factory-expansion,setting
defaultFactorySettings.js,investments.factoryExpansion.scope,factory,setting
defaultFactorySettings.js,investments.factoryExpansion.repeatable,true,setting
defaultFactorySettings.js,investments.factoryExpansion.price,1000000,setting
